ID,Pain,Stress,CORT,Freeze,Num_frz,AvDur
188,Naive,Homecage,261.9245,,,
189,Naive,Homecage,213.2935,,,
190,Naive,Homecage,396.3785,,,
191,Naive,Homecage,534.545,,,
192,Naive,Homecage,497.6075,,,
193,Naive,Homecage,495.4715,,,
194,Naive,Homecage,520.5375,,,
195,Naive,Homecage,449.264,,,
196,Naive,TMT_30,942.1415,17.26666667,20,2.59
197,Naive,TMT_30,1010.8025,18.30666667,23,2.387826087
198,Naive,TMT_30,1131.48,27.25333333,29,2.819310345
199,Naive,TMT_30,1037.102,23.18333333,25,2.782
200,Naive,TMT_30,1067.485,21.36333333,27,2.373703704
201,Naive,TMT_30,770.815,16.13666667,21,2.305238095
202,Naive,TMT_30,377.7125,36.56333333,40,2.74225
203,Naive,TMT_30,547.7935,29.63,30,2.963
204,CFA,Homecage,519.4965,,,
205,CFA,Homecage,474.7255,,,
206,CFA,Homecage,499.829,,,
207,CFA,Homecage,448.297,,,
208,CFA,Homecage,377.7125,,,
209,CFA,Homecage,547.7935,,,
210,CFA,Homecage,660.0995,,,
211,CFA,Homecage,833.0035,,,
212,CFA,TMT_30,1636.2515,25.09666667,30,2.509666667
213,CFA,TMT_30,1412.0935,16.09,35,1.379142857
214,CFA,TMT_30,1145.22,52.52333333,36,4.376944444
215,CFA,TMT_30,1027.3935,52.69333333,27,5.854814815
216,CFA,TMT_30,1987.714,64.40666667,35,5.520571429
217,CFA,TMT_30,1566.4735,33.35333333,38,2.633157895
218,CFA,TMT_30,1205.6865,40.34333333,29,4.173448276
219,CFA,TMT_30,1354.009,35.88,49,2.196734694
252,Naive,TMT_60,167.512,24.64666667,24,3.080833333
253,Naive,TMT_60,83.887,17.27,42,1.233571429
254,Naive,TMT_60,195.1515,28.75666667,11,2.614242425
255,Naive,TMT_60,295.1555,55.89333333,36,4.657777778
256,CFA,TMT_60,347.185,37.85,47,2.415957447
257,CFA,TMT_60,348.6265,67.6,62,3.270967742
258,CFA,TMT_60,103.288,47.33,32,4.4371875
259,CFA,TMT_60,394.017,47.55666667,43,3.317906977
260,Naive,TMT_60,96.168,27.36333333,39,2.104871795
261,Naive,TMT_60,59.8465,32.72666667,57,1.72245614
262,Naive,TMT_60,156.3815,21.07666667,23,2.749130435
263,Naive,TMT_60,209.6225,46.13,52,2.661346154
264,CFA,TMT_60,214.3,40.94666667,48,2.559166667
265,CFA,TMT_60,227.812,44.77,64,2.09859375
266,CFA,TMT_60,168.391,32.7,45,2.18
267,CFA,TMT_60,661.887,57.87666667,32,5.4259375
