ID,Condition,BL_L,BL_R,L_3hr,R_3hr,L_24hr,R_24hr,L_3D,R_3D,L_7D,R_7D
172,Naive,1.268326405,1.118873297,0.445451389,0.821847396,0.662771094,0.745843569,0.822394184,0.931227677,1.045786682,1.154432646
173,Naive,1.193599851,0.948086995,0.703966952,0.485318783,0.745843569,0.501770512,1.163554932,0.839191194,1.149884817,1.193937506
174,Naive,0.913807401,1.058783458,0.487190685,0.46360589,0.441978283,0.576087616,0.820902774,1.058783458,0.986295429,0.948117916
175,Naive,0.950592439,1.118873297,0.538253407,0.571636898,0.544917765,0.821847396,0.913044808,0.88832446,0.821847396,1.154432646
176,Naive,1.088828378,1.075158263,0.277808372,0.325509787,0.455281138,0.544718873,0.831559097,1.163554932,0.864730763,0.986295429
177,Naive,1.088828378,1.154432646,0.567351972,0.325509787,0.921245934,0.618086246,1.108824834,1.016340349,1.110717612,1.051899698
178,Naive,1.090641964,0.864730763,0.512236808,0.570324945,0.660846814,0.73453275,0.948086995,0.987771362,1.016340349,0.972625315
179,Naive,1.058783458,1.266425534,0.376369418,0.3108715,0.718306608,0.691211169,0.987771362,1.266425534,1.045113343,1.22685898
180,CFA,1.016340349,0.936330571,0.455281138,0.418658731,0.785973541,0.544718873,1.091066903,0.809146274,1.2291592,1.163554932
181,CFA,1.084953888,0.990857408,0.435190296,0.450559726,0.462108321,0.466830768,1.005954231,0.99180203,1.005954231,1.118873297
182,CFA,1.066528584,1.266425534,0.408364913,0.309709366,0.96175711,0.718907914,1.091066903,1.088828378,0.950592439,0.736658246
183,CFA,0.99180203,1.193599851,0.645322364,0.696385086,0.560287195,0.573268598,1.049261824,0.869329773,1.026416757,0.901182758
184,CFA,1.075158263,0.972625315,0.361121991,0.341610361,0.579326466,0.745843569,0.883156066,1.084821173,0.986295429,1.088828378
185,CFA,0.96175711,1.189991995,0.373211202,0.329220997,0.71599733,0.570324945,0.740327048,1.088828378,1.268326405,1.058783458
186,CFA,1.266425534,0.8402727,0.342041351,0.294339936,0.470071356,0.61802636,0.986295429,0.966512299,1.332029803,1.084821173
187,CFA,1.027361379,1.045113343,0.369337356,0.435190296,0.697329709,0.738093329,1.091066903,0.905203629,0.946728876,1.049261824
